Customer ID,Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,age_group,generation,purchase_tier,loyalty_tier,freq_order,frequency_category,customer_value_score,value_segment,promo_engagement,seasonal_spend_index,rating_flag,rating_category,is_subscriber,used_discount
1,55,Male,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,46-55,Gen X (45-60),Mid ($31-$60),Regular (11-25),2,High Frequency (Weekly-Bi-Weekly),0.466,Medium Value,Engaged Subscriber,60.36,Rated,Average (3.0-3.9),1,1
2,19,Male,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,18-25,Gen Z (18-28),Premium ($61-$80),New (1-5),2,High Frequency (Weekly-Bi-Weekly),0.435,Medium Value,Engaged Subscriber,60.36,Rated,Average (3.0-3.9),1,1
3,50,Male,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,46-55,Gen X (45-60),Premium ($61-$80),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.672,High Value,Engaged Subscriber,58.74,Rated,Average (3.0-3.9),1,1
4,21,Male,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,18-25,Gen Z (18-28),Luxury ($81-$100),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.943,High Value,Engaged Subscriber,58.74,Rated,Average (3.0-3.9),1,1
5,45,Male,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,36-45,Gen X (45-60),Mid ($31-$60),Loyal (26-50),7,Low Frequency (Quarterly-Annually),0.359,Low Value,Engaged Subscriber,58.74,Rated,Poor (2.5-2.9),1,1
6,46,Male,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,46-55,Gen X (45-60),Budget (<=$30),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.343,Low Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
7,63,Male,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,56-70,Boomer (61-70),Luxury ($81-$100),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.71,High Value,Engaged Subscriber,61.56,Rated,Average (3.0-3.9),1,1
8,27,Male,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,26-35,Gen Z (18-28),Mid ($31-$60),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.449,Medium Value,Engaged Subscriber,60.36,Rated,Average (3.0-3.9),1,1
9,26,Male,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,26-35,Gen Z (18-28),Luxury ($81-$100),Developing (6-10),7,Low Frequency (Quarterly-Annually),0.435,Medium Value,Engaged Subscriber,58.41,Rated,Poor (2.5-2.9),1,1
10,57,Male,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,56-70,Gen X (45-60),Mid ($31-$60),New (1-5),6,Low Frequency (Quarterly-Annually),0.118,Low Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
11,53,Male,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.415,Medium Value,Engaged Subscriber,61.56,Rated,Good (4.0-4.4),1,1
12,30,Male,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,26-35,Millennial (29-44),Premium ($61-$80),Developing (6-10),2,High Frequency (Weekly-Bi-Weekly),0.513,Medium Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
13,61,Male,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,56-70,Boomer (61-70),Premium ($61-$80),Loyal (26-50),2,High Frequency (Weekly-Bi-Weekly),0.725,High Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
14,65,Male,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,56-70,Boomer (61-70),Mid ($31-$60),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.619,Medium Value,Engaged Subscriber,58.74,Rated,Excellent (4.5-5.0),1,1
15,64,Male,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,56-70,Boomer (61-70),Mid ($31-$60),Loyal (26-50),1,High Frequency (Weekly-Bi-Weekly),0.651,High Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
16,64,Male,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,56-70,Boomer (61-70),Luxury ($81-$100),Developing (6-10),4,Medium Frequency (Monthly-Quarterly),0.48,Medium Value,Engaged Subscriber,60.36,Rated,Poor (2.5-2.9),1,1
17,25,Male,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,18-25,Gen Z (18-28),Mid ($31-$60),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.554,Medium Value,Engaged Subscriber,58.74,Rated,Good (4.0-4.4),1,1
18,53,Male,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,46-55,Gen X (45-60),Mid ($31-$60),Loyal (26-50),6,Low Frequency (Quarterly-Annually),0.382,Low Value,Engaged Subscriber,60.36,Rated,Excellent (4.5-5.0),1,1
19,52,Male,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,46-55,Gen X (45-60),Mid ($31-$60),Regular (11-25),1,High Frequency (Weekly-Bi-Weekly),0.504,Medium Value,Engaged Subscriber,58.41,Rated,Excellent (4.5-5.0),1,1
20,66,Male,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,56-70,Boomer (61-70),Luxury ($81-$100),Loyal (26-50),3,High Frequency (Weekly-Bi-Weekly),0.838,High Value,Engaged Subscriber,58.41,Rated,Average (3.0-3.9),1,1
21,21,Male,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,18-25,Gen Z (18-28),Mid ($31-$60),Loyal (26-50),5,Medium Frequency (Monthly-Quarterly),0.588,Medium Value,Engaged Subscriber,60.36,Rated,Poor (2.5-2.9),1,1
22,31,Male,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,26-35,Millennial (29-44),Premium ($61-$80),Regular (11-25),6,Low Frequency (Quarterly-Annually),0.402,Medium Value,Engaged Subscriber,60.36,Rated,Good (4.0-4.4),1,1
